,PERSUASION TAGS,,,,,,,,Total Persuasive,123,86
,,,,,,,,,,Persasive?,
Post,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
"HT01: Establishing communication, requesting S.O.S., get the God damn power here, bring the fuckin' steak and the eggs.  10-4.",,,,,,,,,,0,0
"PN60: <HT01 First Name> I just found out that your steak and eggs, uh, have just arrived and I want to find out from you how you want them delivered.",,,,,,,,,,0,0
"HT01: I've already established that you're really pissing me off. I want em brought out on the same cars that they're goin', uh, establish electricity with, should take no more than two men to do it, I want one once the car gets here to bring me electricity, one to bring the steak and eggs to the fuckin' window. If someone comes through the pilot's window and sticks a gun up, pulls, uh, sticks the gun up, it all goes up. I'm being calm.  You all are being a little bit irrational in a type situation like this, your not dealingwith your average (pause) highjacker. 10-4.",,,1,,,,,,here's the deal,1,1
"PN60: Well I understand the fact that your very intelligent, and I appreciate that. We're just about ready to bring the food out to you now, here's the way it's gonna be done <HT01 First Name>, now listen up okay.",,,,,1,,,,intelligent,1,1
"HT01: 10-4, I told you how it was gonna be done, you tell me how you want to do it and then I'm gonna tell you how it's gonna be done, and I want to know where in the hell <ON82 First Name> is!",,,,,,,,,,0,0
"PN60: We've just located her and she's gonna be out here shortly, uh, keep calm <HT01 First Name> I'm trying to work this thing out, now listen, here's what I'd like to do, I'd like to uh send one man out to the plane and hand somebody the food through the captain's window or the co-captains window, okay!",,,1,,,,,,let's alter the deal,1,1
"HT01: The food ull brought in through a captains window a electrician will be established at that time, do you respect that we're about to lose communications? Lose communications--lose control. 10-4!",,,,,,1,,,threat that the situation will deteriorate,1,1
"PN60: Okay, just hang on and we’ll try in get the AP unit, APU unit out to you also, just hang on I got the food, I'm working on the other thing, okay.",,,,,,,,,,0,0
"HT01: That's a 10-4. [pause, all I hear is the back ground noise that has been going through out the tape]",,,,,,,,,,0,0
"CH30: Em uh, <PN60 First Name>, this is Captain <CH30 Last Name>.",,,,,,,,,,0,0
PN60: Yea Captain <CH30 Last Name>.,,,,,,,,,,0,0
"CH30: Yea I'd like to request that uh he wants his food, have you to go ahead and get ahold of our, uh, uh, corresponding, uh, husband and wife just to let em' know that we're everything is fine and okay? And, uh, the telephone number for uh, <CH31 First Name>'s husband is uh, his name is <CH31 Husband's First Name>, telephone numbers <num>, and if he's not there just leave a message on the recorder that everythings okay, and uh, my uh, uh wifes phone number is uh <num>.",,,,,,,,,,0,0
"PN60: Okay, what is your wifes name?",,,,,,,,,,0,0
CH30: Name is <CH30 Wife's First Name> <CH30 Last Name>.,,,,,,,,,,0,0
"PN60: Okay, let me have that number again please Captain.",,,,,,,,,,0,0
"CH30: Okay, the last number <num>.",,,,,,,,,,0,0
"PN60: Okay I got that, just hold on for a second please.",,,,,,,,,,0,0
"CH30: Okay--and uh, or uh, gettin' low on the battery out here, so we need to have the AP hooked up as soon as we can, so we can like,  keep the radio uh, line open.",,,,,,,,,,0,0
"PN60: Okay, I understand, I'll have somebody out there with in the next [pause] 90 seconds, just hold on for a minute, okay?",,,,,,,,,,0,0
"CH30: Okay, well as soon as our radio uh, uh, uh, cuts power, but uh, when you last changed your last position your radio got uh real weak and distorted, so maybe your uh location.",,,,,,,,,,0,0
"PN60: Okay, just hold on a minute.  [pause, hear nothing]",,,,,,,,,,0,0
"PN60: <PN60 First Name> to <HT01 First Name>, [pause] <PN60 First Name> to <HT01 First Name>.",,,,,,,,,,0,0
"HT01: <HT01 First Name> to <PN60 First Name>, come in please <PN60 First Name>!",,,,,,,,,,0,0
"PN60: I want you to know that uh, [pause], I have everything all set to go, what I'd like you to do is to let uh, <CH31 First Name> walk out of the plane and I'll bring the shipment right over to you right now, okay?",,,1,,,,,,alter the deal,1,1
"HT01: Negatory' Negatory! <CH31 First Name> is in good hands, she's just like Allstate  <HT01 First Name> <HT01 Last Name>, she's in good hands as long as she's with me. 10-4. Okay, I did not want to, I'm not letting anyone go, besides, uh,  we're gonna stay here your not talking me out of the two people  who are in the plane with me, I've established communications with them, I'm gonna break communications with you at this point, they  know what my demands are and until there met I'm just gonna sit  here. 10-4. I'm gettin' a little pissed off, I'm a little hungry.  10-4.",1,,,,,,,,reasons why he won’t let them go,1,0
"PN60: Okay, listen [pause], <HT01 First Name> are you listening to me now'?",,,,,,,,,,0,0
"CH30: Yea, go ahead, your radio's gettin' real weak we need to get some power out here.",,,,,,,,,,0,0
"PN60: Okay, just stand by, and I'll bring the power out to you, just stand by for a second, okay Captain'?",,,,,,,,,,0,0
"CH30: Okay, that'll be fine. [pause] An he said you got uh, a minute and a half to do it. [long pause]",,,,,,,,,,0,0
PN60: This is <PN60 First Name> to <HT01 First Name>.,,,,,,,,,,0,0
"CH30: Yea this is Captain <CH30 Last Name>, he doesn't want to talk to ya til we get  power hooked up.",,,,,,,,,,0,0
"PN60: Okay, I want you to know that we're hooking the power up right now, we can't give up the time limit on this thing, we're trying to do the best we can, just let him know that, okay?",1,,,,,,,,reason: best we can,1,0
"CH30: Yea, we understand.",,,,,,,,,,0,0
"PN60: And I would also like you to know that uh, as soon as the power is hooked up we'll, we'll uh, see about getting you that food, but we can only do one thing at a time, okay?",1,,,,,,,,reason: one thing at a time,1,0
"CH30: Okay, we can just barely read you right now uh, we won't be able to talk to you any more til you get the power hooked up cause we're uh, batteries are gettin' low.",,,,,,,,,,0,0
